SessionID|Command_Seq|Function_Name|Function Offset|Actual_New|Expected_Previous|Screen_Cursor.Y|Screen_Cursor.X|Screen_Cursor_Prev_Y|Screen_Cursor_Prev_X|Command_Current_Seq|Screen_Command_Seq_From
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|11|vTermCommandMismatch|No : Command Prompt 'S1 Wireless LAN' Not Found (expected at 5,8)||S1 Wireless LAN|5|8|5|8|10|10
0|250915_085426|Processed 25 of 24 Commands
